date_jst,BTC,GOLD,US10Y,SP500
2022-08-09 09:00:00+09:00,0.130616,-0.554854,1.540455,1.396706
2022-08-10 09:00:00+09:00,0.258765,-0.295181,1.452159,1.739194
2022-08-11 09:00:00+09:00,0.234767,-0.206129,1.404123,1.349177
2022-08-12 09:00:00+09:00,0.203216,-0.128442,1.515940,1.608917
2022-08-13 09:00:00+09:00,0.051319,-0.129890,1.509862,1.598448
2022-08-14 09:00:00+09:00,0.228586,-0.184981,1.381834,1.649328
2022-08-15 09:00:00+09:00,0.127385,-0.377736,1.691576,1.394173
2022-08-16 09:00:00+09:00,0.331376,-0.429062,1.440055,2.059624
2022-08-17 09:00:00+09:00,0.018806,-0.754406,1.133470,2.024417
2022-08-18 09:00:00+09:00,0.155630,-0.799595,1.052903,2.045153
2022-08-19 09:00:00+09:00,-0.285355,-0.862397,0.803879,1.833899
2022-08-20 09:00:00+09:00,-0.338703,-0.858140,0.803525,1.827725
2022-08-21 09:00:00+09:00,-0.110256,-0.902869,0.976333,1.541560
2022-08-22 09:00:00+09:00,-0.203007,-1.152688,0.605852,1.336711
2022-08-23 09:00:00+09:00,-0.162997,-0.886664,0.480511,1.161303
2022-08-24 09:00:00+09:00,-0.142459,-0.882768,0.401413,0.916703
2022-08-25 09:00:00+09:00,-0.011174,-0.823748,0.543913,0.768314
2022-08-26 09:00:00+09:00,-0.282721,-1.001447,0.513381,0.281118
2022-08-27 09:00:00+09:00,-0.398274,-0.994069,0.516263,0.285783
2022-08-28 09:00:00+09:00,-0.728661,-0.987011,0.518286,0.291949
2022-08-29 09:00:00+09:00,-0.613546,-0.907922,0.656575,0.291629
2022-08-30 09:00:00+09:00,-0.465471,-1.020805,0.809938,0.246616
2022-08-31 09:00:00+09:00,-0.493913,-1.280655,0.651009,-0.116333
2022-09-01 09:00:00+09:00,-0.378716,-1.243497,0.481632,0.165390
2022-09-02 09:00:00+09:00,-0.418266,-1.122685,0.644316,0.017672
2022-09-03 09:00:00+09:00,-0.447525,-1.113921,0.646956,0.024046
2022-09-04 09:00:00+09:00,-0.592343,-1.057038,0.867073,-0.014229
2022-09-05 09:00:00+09:00,-0.595042,-1.113180,0.754166,-0.141750
2022-09-06 09:00:00+09:00,-0.663840,-1.216194,0.542171,-0.035773
2022-09-07 09:00:00+09:00,-0.554937,-1.059140,0.758730,0.609720
2022-09-08 09:00:00+09:00,-0.404112,-1.283188,0.939863,1.190485
2022-09-09 09:00:00+09:00,0.142917,-1.205559,0.943347,1.448287
2022-09-10 09:00:00+09:00,0.491633,-1.195752,0.943892,1.460206
2022-09-11 09:00:00+09:00,1.457309,-0.853367,1.469672,2.136786
2022-09-12 09:00:00+09:00,1.689143,-0.600206,1.627882,2.387321
